date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
2021-09-01,Mizoram,4-Wheelers,0,264
2021-09-01,Nagaland,4-Wheelers,0,681
2021-09-01,Tripura,2-Wheelers,0,2736
2021-09-01,Tripura,4-Wheelers,0,403
2021-10-01,Andaman & Nicobar Island,2-Wheelers,0,360
2021-10-01,Arunachal Pradesh,2-Wheelers,0,1109
2021-10-01,Arunachal Pradesh,4-Wheelers,0,570
2021-10-01,Assam,4-Wheelers,0,5877
2021-10-01,Ladakh,4-Wheelers,0,289
2021-10-01,Manipur,4-Wheelers,0,916
2021-10-01,Meghalaya,2-Wheelers,0,1414
2021-10-01,Meghalaya,4-Wheelers,0,722
2021-10-01,Mizoram,2-Wheelers,0,1886
2021-10-01,Mizoram,4-Wheelers,0,283
2021-10-01,Nagaland,2-Wheelers,0,650
2021-10-01,Nagaland,4-Wheelers,0,567
2021-10-01,Puducherry,4-Wheelers,0,609
2021-10-01,Tripura,2-Wheelers,0,3015
2021-10-01,Tripura,4-Wheelers,0,366
2021-11-01,Andaman & Nicobar Island,2-Wheelers,0,413
2021-11-01,Andaman & Nicobar Island,4-Wheelers,0,125
2021-11-01,Arunachal Pradesh,2-Wheelers,0,1262
2021-11-01,Arunachal Pradesh,4-Wheelers,0,646
2021-11-01,Assam,4-Wheelers,0,5618
2021-11-01,DNH and DD,4-Wheelers,0,330
2021-11-01,Himachal Pradesh,4-Wheelers,0,4496
2021-11-01,Jammu and Kashmir,4-Wheelers,0,4709
2021-11-01,Ladakh,2-Wheelers,0,28
2021-11-01,Ladakh,4-Wheelers,0,287
2021-11-01,Manipur,4-Wheelers,0,875
2021-11-01,Meghalaya,2-Wheelers,0,1442
2021-11-01,Meghalaya,4-Wheelers,0,806
2021-11-01,Mizoram,2-Wheelers,0,1820
2021-11-01,Mizoram,4-Wheelers,0,328
2021-11-01,Nagaland,2-Wheelers,0,592
2021-11-01,Nagaland,4-Wheelers,0,692
2021-11-01,Tripura,2-Wheelers,0,3843
2021-11-01,Tripura,4-Wheelers,0,326
2021-12-01,Andaman & Nicobar Island,2-Wheelers,0,376
2021-12-01,Arunachal Pradesh,2-Wheelers,0,1036
2021-12-01,Arunachal Pradesh,4-Wheelers,0,709
2021-12-01,Jammu and Kashmir,4-Wheelers,0,5306
2021-12-01,Ladakh,2-Wheelers,0,15
2021-12-01,Ladakh,4-Wheelers,0,167
2021-12-01,Manipur,4-Wheelers,0,849
2021-12-01,Meghalaya,2-Wheelers,0,1101
2021-12-01,Meghalaya,4-Wheelers,0,888
2021-12-01,Mizoram,2-Wheelers,0,1740
2021-12-01,Mizoram,4-Wheelers,0,376
2021-12-01,Nagaland,2-Wheelers,0,353
2021-12-01,Nagaland,4-Wheelers,0,540
2021-12-01,Tripura,4-Wheelers,0,352
2022-01-01,Andaman & Nicobar Island,2-Wheelers,0,336
2022-01-01,Andaman & Nicobar Island,4-Wheelers,0,90
2022-01-01,Arunachal Pradesh,2-Wheelers,0,950
2022-01-01,Arunachal Pradesh,4-Wheelers,0,766
2022-01-01,Assam,4-Wheelers,0,5550
2022-01-01,DNH and DD,4-Wheelers,0,358
2022-01-01,Jammu and Kashmir,4-Wheelers,0,3963
2022-01-01,Ladakh,4-Wheelers,0,150
2022-01-01,Manipur,4-Wheelers,0,687
2022-01-01,Meghalaya,2-Wheelers,0,1112
2022-01-01,Meghalaya,4-Wheelers,0,1063
2022-01-01,Mizoram,2-Wheelers,0,1387
2022-01-01,Mizoram,4-Wheelers,0,311
2022-01-01,Nagaland,2-Wheelers,0,410
2022-01-01,Nagaland,4-Wheelers,0,722
2022-01-01,Puducherry,4-Wheelers,0,758
2022-01-01,Tripura,4-Wheelers,0,394
2022-02-01,Andaman & Nicobar Island,2-Wheelers,0,388
2022-02-01,Andaman & Nicobar Island,4-Wheelers,0,112
2022-02-01,Arunachal Pradesh,2-Wheelers,0,858
2022-02-01,Arunachal Pradesh,4-Wheelers,0,671
2022-02-01,Ladakh,2-Wheelers,0,15
2022-02-01,Ladakh,4-Wheelers,0,44
2022-02-01,Manipur,4-Wheelers,0,834
2022-02-01,Meghalaya,2-Wheelers,0,1145
2022-02-01,Mizoram,2-Wheelers,0,1599
2022-02-01,Mizoram,4-Wheelers,0,354
2022-02-01,Nagaland,2-Wheelers,0,504
2022-02-01,Nagaland,4-Wheelers,0,773
2022-02-01,Puducherry,4-Wheelers,0,622
2022-02-01,Tripura,4-Wheelers,0,340
2022-03-01,Andaman & Nicobar Island,2-Wheelers,0,383
2022-03-01,Arunachal Pradesh,2-Wheelers,0,1111
2022-03-01,Arunachal Pradesh,4-Wheelers,0,679
2022-03-01,Ladakh,2-Wheelers,0,49
2022-03-01,Ladakh,4-Wheelers,0,49
2022-03-01,Manipur,4-Wheelers,0,717
2022-03-01,Meghalaya,2-Wheelers,0,1687
2022-03-01,Meghalaya,4-Wheelers,0,1104
2022-03-01,Mizoram,2-Wheelers,0,1848
2022-03-01,Mizoram,4-Wheelers,0,413
2022-03-01,Nagaland,2-Wheelers,0,541
2022-03-01,Nagaland,4-Wheelers,0,632
2022-03-01,Tripura,4-Wheelers,0,484
2022-04-01,Andaman & Nicobar Island,2-Wheelers,0,407
2022-04-01,Arunachal Pradesh,2-Wheelers,0,1063
2022-04-01,Arunachal Pradesh,4-Wheelers,0,824
2022-04-01,Ladakh,2-Wheelers,0,351
2022-04-01,Ladakh,4-Wheelers,0,105
2022-04-01,Mizoram,2-Wheelers,0,1530
2022-04-01,Mizoram,4-Wheelers,0,323
2022-04-01,Nagaland,4-Wheelers,0,723
2022-04-01,Tripura,4-Wheelers,0,448
2022-05-01,Andaman & Nicobar Island,2-Wheelers,0,358
2022-05-01,Andaman & Nicobar Island,4-Wheelers,0,110
2022-05-01,Arunachal Pradesh,2-Wheelers,0,1241
2022-05-01,Arunachal Pradesh,4-Wheelers,0,965
2022-05-01,Ladakh,2-Wheelers,0,419
2022-05-01,Ladakh,4-Wheelers,0,322
2022-05-01,Manipur,4-Wheelers,0,644
2022-05-01,Meghalaya,2-Wheelers,0,1780
2022-05-01,Mizoram,4-Wheelers,0,397
2022-05-01,Nagaland,4-Wheelers,0,630
2022-05-01,Tripura,4-Wheelers,0,359
2022-06-01,Andaman & Nicobar Island,2-Wheelers,0,423
2022-06-01,Andaman & Nicobar Island,4-Wheelers,0,115
2022-06-01,Arunachal Pradesh,2-Wheelers,0,1253
2022-06-01,Arunachal Pradesh,4-Wheelers,0,1021
2022-06-01,Ladakh,4-Wheelers,0,310
2022-06-01,Manipur,4-Wheelers,0,1029
2022-06-01,Mizoram,4-Wheelers,0,373
2022-06-01,Nagaland,2-Wheelers,0,594
2022-06-01,Nagaland,4-Wheelers,0,735
2022-06-01,Tripura,4-Wheelers,0,354
2022-07-01,Andaman & Nicobar Island,2-Wheelers,0,385
2022-07-01,Andaman & Nicobar Island,4-Wheelers,0,127
2022-07-01,Arunachal Pradesh,2-Wheelers,0,1181
2022-07-01,DNH and DD,4-Wheelers,0,344
2022-07-01,Ladakh,2-Wheelers,0,314
2022-07-01,Manipur,4-Wheelers,0,775
2022-07-01,Mizoram,4-Wheelers,0,319
2022-07-01,Nagaland,2-Wheelers,0,505
2022-07-01,Nagaland,4-Wheelers,0,591
2022-07-01,Tripura,4-Wheelers,0,402
2022-08-01,Andaman & Nicobar Island,2-Wheelers,0,398
2022-08-01,Andaman & Nicobar Island,4-Wheelers,0,154
2022-08-01,Arunachal Pradesh,2-Wheelers,0,1244
2022-08-01,Arunachal Pradesh,4-Wheelers,0,866
2022-08-01,Ladakh,2-Wheelers,0,222
2022-08-01,Manipur,4-Wheelers,0,623
2022-08-01,Meghalaya,4-Wheelers,0,1120
2022-08-01,Mizoram,4-Wheelers,0,408
2022-08-01,Nagaland,2-Wheelers,0,554
2022-08-01,Nagaland,4-Wheelers,0,844
2022-08-01,Tripura,4-Wheelers,0,403
2022-09-01,Andaman & Nicobar Island,2-Wheelers,0,484
2022-09-01,Andaman & Nicobar Island,4-Wheelers,0,128
2022-09-01,Arunachal Pradesh,2-Wheelers,0,1068
2022-09-01,Arunachal Pradesh,4-Wheelers,0,931
2022-09-01,Ladakh,2-Wheelers,0,30
2022-09-01,Ladakh,4-Wheelers,0,189
2022-09-01,Manipur,4-Wheelers,0,820
2022-09-01,Mizoram,4-Wheelers,0,379
2022-09-01,Nagaland,2-Wheelers,0,589
2022-09-01,Nagaland,4-Wheelers,0,780
2022-09-01,Tripura,4-Wheelers,0,465
2022-10-01,Andaman & Nicobar Island,2-Wheelers,0,409
2022-10-01,Andaman & Nicobar Island,4-Wheelers,0,144
2022-10-01,Arunachal Pradesh,2-Wheelers,0,850
2022-10-01,Arunachal Pradesh,4-Wheelers,0,741
2022-10-01,Ladakh,2-Wheelers,0,27
2022-10-01,Ladakh,4-Wheelers,0,264
2022-10-01,Manipur,4-Wheelers,0,596
2022-10-01,Mizoram,4-Wheelers,0,362
2022-10-01,Nagaland,2-Wheelers,0,374
2022-10-01,Nagaland,4-Wheelers,0,690
2022-10-01,Tripura,4-Wheelers,0,416
2022-11-01,Arunachal Pradesh,2-Wheelers,0,1251
2022-11-01,Arunachal Pradesh,4-Wheelers,0,971
2022-11-01,Jammu and Kashmir,4-Wheelers,0,4102
2022-11-01,Ladakh,2-Wheelers,0,23
2022-11-01,Ladakh,4-Wheelers,0,244
2022-11-01,Manipur,4-Wheelers,0,1569
2022-11-01,Meghalaya,4-Wheelers,0,1158
2022-11-01,Mizoram,4-Wheelers,0,378
2022-11-01,Nagaland,2-Wheelers,0,447
2022-11-01,Nagaland,4-Wheelers,0,724
2022-11-01,Punjab,4-Wheelers,0,8875
2022-11-01,Tripura,4-Wheelers,0,410
2022-12-01,Arunachal Pradesh,4-Wheelers,0,865
2022-12-01,Ladakh,2-Wheelers,0,16
2022-12-01,Ladakh,4-Wheelers,0,144
2022-12-01,Manipur,4-Wheelers,0,1478
2022-12-01,Meghalaya,4-Wheelers,0,1150
2022-12-01,Mizoram,4-Wheelers,0,445
2022-12-01,Nagaland,2-Wheelers,0,369
2022-12-01,Nagaland,4-Wheelers,0,490
2022-12-01,Tripura,4-Wheelers,0,385
2023-01-01,Andaman & Nicobar Island,2-Wheelers,0,373
2023-01-01,Andaman & Nicobar Island,4-Wheelers,0,153
2023-01-01,Arunachal Pradesh,2-Wheelers,0,718
2023-01-01,Arunachal Pradesh,4-Wheelers,0,966
2023-01-01,Ladakh,4-Wheelers,0,92
2023-01-01,Mizoram,4-Wheelers,0,476
2023-01-01,Nagaland,2-Wheelers,0,432
2023-01-01,Nagaland,4-Wheelers,0,545
2023-01-01,Punjab,4-Wheelers,0,11608
2023-01-01,Tripura,4-Wheelers,0,399
2023-02-01,Andaman & Nicobar Island,2-Wheelers,0,346
2023-02-01,Andaman & Nicobar Island,4-Wheelers,0,148
2023-02-01,Arunachal Pradesh,2-Wheelers,0,816
2023-02-01,Arunachal Pradesh,4-Wheelers,0,840
2023-02-01,Ladakh,2-Wheelers,0,5
2023-02-01,Ladakh,4-Wheelers,0,49
2023-02-01,Meghalaya,4-Wheelers,0,1002
2023-02-01,Mizoram,4-Wheelers,0,337
2023-02-01,Nagaland,2-Wheelers,0,375
2023-02-01,Nagaland,4-Wheelers,0,806
2023-02-01,Tripura,4-Wheelers,0,328
2023-03-01,Arunachal Pradesh,2-Wheelers,0,1131
2023-03-01,Arunachal Pradesh,4-Wheelers,0,1048
2023-03-01,Ladakh,2-Wheelers,0,30
2023-03-01,Ladakh,4-Wheelers,0,59
2023-03-01,Manipur,4-Wheelers,0,320
2023-03-01,Meghalaya,4-Wheelers,0,1369
2023-03-01,Mizoram,4-Wheelers,0,433
2023-03-01,Nagaland,2-Wheelers,0,693
2023-03-01,Nagaland,4-Wheelers,0,820
2023-04-01,Andaman & Nicobar Island,2-Wheelers,0,325
2023-04-01,Arunachal Pradesh,2-Wheelers,0,971
2023-04-01,Ladakh,2-Wheelers,0,43
2023-04-01,Ladakh,4-Wheelers,0,219
2023-04-01,Manipur,4-Wheelers,0,942
2023-04-01,Mizoram,4-Wheelers,0,336
2023-04-01,Nagaland,2-Wheelers,0,560
2023-05-01,Andaman & Nicobar Island,2-Wheelers,0,436
2023-05-01,Andaman & Nicobar Island,4-Wheelers,0,150
2023-05-01,Arunachal Pradesh,4-Wheelers,0,1132
2023-05-01,Ladakh,4-Wheelers,0,364
2023-05-01,Mizoram,4-Wheelers,0,382
2023-05-01,Nagaland,2-Wheelers,0,610
2023-05-01,Nagaland,4-Wheelers,0,796
2023-06-01,Andaman & Nicobar Island,2-Wheelers,0,373
2023-06-01,Arunachal Pradesh,2-Wheelers,0,1141
2023-06-01,Arunachal Pradesh,4-Wheelers,0,1089
2023-06-01,Ladakh,4-Wheelers,0,304
2023-06-01,Manipur,4-Wheelers,0,220
2023-06-01,Mizoram,4-Wheelers,0,383
2023-06-01,Nagaland,2-Wheelers,0,650
2023-06-01,Nagaland,4-Wheelers,0,620
2023-07-01,Andaman & Nicobar Island,2-Wheelers,0,424
2023-07-01,Arunachal Pradesh,2-Wheelers,0,1315
2023-07-01,Ladakh,4-Wheelers,0,301
2023-07-01,Mizoram,4-Wheelers,0,439
2023-08-01,Andaman & Nicobar Island,2-Wheelers,0,477
2023-08-01,Arunachal Pradesh,2-Wheelers,0,1292
2023-08-01,Ladakh,2-Wheelers,0,63
2023-08-01,Ladakh,4-Wheelers,0,278
2023-08-01,Mizoram,4-Wheelers,0,410
2023-08-01,Nagaland,2-Wheelers,0,592
2023-08-01,Nagaland,4-Wheelers,0,760
2023-09-01,Andaman & Nicobar Island,2-Wheelers,0,379
2023-09-01,Arunachal Pradesh,2-Wheelers,0,1274
2023-09-01,Ladakh,2-Wheelers,0,40
2023-09-01,Ladakh,4-Wheelers,0,211
2023-09-01,Manipur,2-Wheelers,0,426
2023-09-01,Manipur,4-Wheelers,0,239
2023-09-01,Mizoram,4-Wheelers,0,415
2023-09-01,Nagaland,4-Wheelers,0,654
2023-10-01,Arunachal Pradesh,2-Wheelers,0,1281
2023-10-01,Ladakh,2-Wheelers,0,33
2023-10-01,Ladakh,4-Wheelers,0,187
2023-10-01,Mizoram,4-Wheelers,0,453
2023-10-01,Nagaland,2-Wheelers,0,471
2023-10-01,Nagaland,4-Wheelers,0,743
2023-11-01,Arunachal Pradesh,2-Wheelers,0,1458
2023-11-01,Ladakh,2-Wheelers,0,39
2023-11-01,Ladakh,4-Wheelers,0,166
2023-11-01,Mizoram,4-Wheelers,0,531
2023-12-01,Ladakh,2-Wheelers,0,7
2023-12-01,Ladakh,4-Wheelers,0,144
2023-12-01,Mizoram,4-Wheelers,0,568
2023-12-01,Nagaland,2-Wheelers,0,421
2023-12-01,Nagaland,4-Wheelers,0,562
2024-01-01,Arunachal Pradesh,2-Wheelers,0,995
2024-01-01,Nagaland,2-Wheelers,0,505
2024-01-01,Ladakh,4-Wheelers,0,141
2024-01-01,Andaman & Nicobar,4-Wheelers,0,177
2024-01-01,Nagaland,4-Wheelers,0,877
2024-02-01,Arunachal Pradesh,2-Wheelers,0,1117
2024-02-01,Nagaland,2-Wheelers,0,763
2024-02-01,Ladakh,2-Wheelers,0,4
2024-02-01,Mizoram,4-Wheelers,0,494
2024-02-01,Ladakh,4-Wheelers,0,47
2024-03-01,Arunachal Pradesh,2-Wheelers,0,1259
2024-03-01,Ladakh,2-Wheelers,0,11
2024-03-01,Mizoram,4-Wheelers,0,463
2024-03-01,Nagaland,4-Wheelers,0,1336
2024-03-01,Ladakh,4-Wheelers,0,81
2021-04-01,DNH and DD,2-Wheelers,1,657
2021-04-01,Himachal Pradesh,4-Wheelers,1,3544
2021-04-01,Meghalaya,4-Wheelers,1,930
2021-05-01,Chandigarh,4-Wheelers,1,413
2021-05-01,Haryana,4-Wheelers,1,4373
2021-05-01,Himachal Pradesh,4-Wheelers,1,1503
2021-05-01,Jharkhand,4-Wheelers,1,2290
2021-05-01,Madhya Pradesh,2-Wheelers,1,6302
2021-05-01,Meghalaya,4-Wheelers,1,88
2021-06-01,Assam,4-Wheelers,1,3842
2021-06-01,DNH and DD,4-Wheelers,1,234
2021-06-01,Himachal Pradesh,4-Wheelers,1,3193
2021-06-01,Jammu and Kashmir,4-Wheelers,1,4469
2021-06-01,Tripura,2-Wheelers,1,1523
2021-07-01,Jammu and Kashmir,4-Wheelers,1,5336
2021-07-01,Meghalaya,4-Wheelers,1,759
2021-08-01,Andaman & Nicobar Island,4-Wheelers,1,110
2021-08-01,Puducherry,4-Wheelers,1,837
2021-09-01,DNH and DD,2-Wheelers,1,666
2021-09-01,Himachal Pradesh,4-Wheelers,1,3379
2021-09-01,Jammu and Kashmir,4-Wheelers,1,3773
2021-09-01,Nagaland,2-Wheelers,1,578
2021-10-01,Andaman & Nicobar Island,4-Wheelers,1,70
2021-10-01,DNH and DD,2-Wheelers,1,628
2021-10-01,DNH and DD,4-Wheelers,1,333
2021-10-01,Himachal Pradesh,4-Wheelers,1,3201
2021-11-01,DNH and DD,2-Wheelers,1,938
2021-11-01,Puducherry,4-Wheelers,1,532
2021-12-01,Andaman & Nicobar Island,4-Wheelers,1,122
2021-12-01,DNH and DD,4-Wheelers,1,336
2021-12-01,Himachal Pradesh,4-Wheelers,1,4105
2021-12-01,Tripura,2-Wheelers,1,3579
2022-02-01,DNH and DD,4-Wheelers,1,354
2022-02-01,Meghalaya,4-Wheelers,1,917
2022-03-01,DNH and DD,4-Wheelers,1,355
2022-04-01,Andaman & Nicobar Island,4-Wheelers,1,147
2022-04-01,DNH and DD,4-Wheelers,1,431
2022-04-01,Manipur,2-Wheelers,1,1246
2022-04-01,Manipur,4-Wheelers,1,813
2022-04-01,Meghalaya,4-Wheelers,1,860
2022-05-01,DNH and DD,4-Wheelers,1,374
2022-05-01,Mizoram,2-Wheelers,1,1638
2022-05-01,Nagaland,2-Wheelers,1,514
2022-06-01,DNH and DD,2-Wheelers,1,767
2022-06-01,Meghalaya,4-Wheelers,1,1087
2022-07-01,Arunachal Pradesh,4-Wheelers,1,947
2022-07-01,Ladakh,4-Wheelers,1,285
2022-07-01,Mizoram,2-Wheelers,1,1427
2022-08-01,DNH and DD,4-Wheelers,1,303
2022-09-01,DNH and DD,4-Wheelers,1,390
2022-09-01,Manipur,2-Wheelers,1,2473
2022-09-01,Meghalaya,2-Wheelers,1,1719
