quarter,maker,vehicle_category,fiscal_year,total_ev_sold
Q3,OLA ELECTRIC,2-Wheelers,2022,240
Q2,TVS,2-Wheelers,2023,14775
Q4,AMPERE,2-Wheelers,2022,15463
Q4,PURE EV,2-Wheelers,2023,1789
Q4,TVS,2-Wheelers,2023,40029
Q3,OTHERS,2-Wheelers,2023,15864
Q2,JITENDRA,2-Wheelers,2023,2194
Q2,OKINAWA,2-Wheelers,2023,25647
Q3,REVOLT,2-Wheelers,2023,1602
Q3,AMPERE,2-Wheelers,2022,6570
Q2,JITENDRA,2-Wheelers,2022,554
Q3,AMPERE,2-Wheelers,2023,27151
Q2,TVS,2-Wheelers,2022,1987
Q4,BAJAJ,2-Wheelers,2023,9341
Q1,OTHERS,2-Wheelers,2023,11796
Q3,TVS,2-Wheelers,2022,2127
Q1,OTHERS,2-Wheelers,2022,1576
Q4,REVOLT,2-Wheelers,2022,3214
Q3,OLA ELECTRIC,2-Wheelers,2023,48107
Q1,BAJAJ,2-Wheelers,2022,244
Q2,OKAYA EV,2-Wheelers,2023,2935
Q3,OKAYA EV,2-Wheelers,2023,5196
Q4,REVOLT,2-Wheelers,2023,1233
Q3,Hyundai Motor,4-Wheelers,2022,25
Q2,Hyundai Motor,4-Wheelers,2022,34
Q1,Hyundai Motor,4-Wheelers,2023,75
Q2,Hyundai Motor,4-Wheelers,2023,155
Q1,Hyundai Motor,4-Wheelers,2022,25
Q4,Hyundai Motor,4-Wheelers,2022,26
Q3,Hyundai Motor,4-Wheelers,2023,191
Q4,Hyundai Motor,4-Wheelers,2023,155
Q4,KIA Motors,4-Wheelers,2023,74
Q4,BYD India,4-Wheelers,2022,32
Q4,MG Motor,4-Wheelers,2022,153
Q4,Volvo Auto India,4-Wheelers,2023,84
Q4,Tata Motors,4-Wheelers,2023,9528
Q4,MG Motor,4-Wheelers,2023,946
Q4,PCA Automobiles,4-Wheelers,2023,151
Q4,Tata Motors,4-Wheelers,2022,5834
Q4,BYD India,4-Wheelers,2023,623
Q4,Volvo Auto India,4-Wheelers,2022,4
Q4,BMW India,4-Wheelers,2022,7
Q4,Mercedes -Benz AG,4-Wheelers,2022,10
Q4,BMW India,4-Wheelers,2023,174
Q4,Mercedes -Benz AG,4-Wheelers,2023,36
Q4,Mahindra & Mahindra,4-Wheelers,2022,1653
Q4,Mahindra & Mahindra,4-Wheelers,2023,5243
Q3,BYD India,4-Wheelers,2022,1
Q3,Mercedes -Benz AG,4-Wheelers,2022,6
Q3,Volvo Auto India,4-Wheelers,2023,21
Q2,BMW India,4-Wheelers,2023,44
Q3,Tata Motors,4-Wheelers,2023,6651
Q2,Tata Motors,4-Wheelers,2023,6192
Q3,Mahindra & Mahindra,4-Wheelers,2023,3378
Q3,KIA Motors,4-Wheelers,2023,155
Q1,Tata Motors,4-Wheelers,2022,1031
Q2,BYD India,4-Wheelers,2023,113
Q2,MG Motor,4-Wheelers,2022,798
Q3,MG Motor,4-Wheelers,2023,1165
Q2,Mercedes -Benz AG,4-Wheelers,2023,7
Q3,Mercedes -Benz AG,4-Wheelers,2023,14
Q1,BYD India,4-Wheelers,2023,81
Q3,Mahindra & Mahindra,4-Wheelers,2022,1383
Q1,Mahindra & Mahindra,4-Wheelers,2022,355
Q2,Mahindra & Mahindra,4-Wheelers,2022,651
Q1,Mercedes -Benz AG,4-Wheelers,2022,5
Q2,Tata Motors,4-Wheelers,2022,2052
Q2,MG Motor,4-Wheelers,2023,635
Q2,Mercedes -Benz AG,4-Wheelers,2022,5
Q1,MG Motor,4-Wheelers,2023,531
Q3,BYD India,4-Wheelers,2023,103
Q1,Mercedes -Benz AG,4-Wheelers,2023,14
Q1,BMW India,4-Wheelers,2023,22
Q2,Mahindra & Mahindra,4-Wheelers,2023,3164
Q1,MG Motor,4-Wheelers,2022,285
Q3,BMW India,4-Wheelers,2023,45
Q3,Tata Motors,4-Wheelers,2022,3791
Q3,MG Motor,4-Wheelers,2022,411
Q1,Mahindra & Mahindra,4-Wheelers,2023,2020
Q1,Tata Motors,4-Wheelers,2023,5675
Q1,KIA Motors,4-Wheelers,2023,0
Q3,PCA Automobiles,4-Wheelers,2023,0
Q2,Volvo Auto India,4-Wheelers,2023,0
Q1,Volvo Auto India,4-Wheelers,2023,0
Q2,KIA Motors,4-Wheelers,2023,0
Q1,PCA Automobiles,4-Wheelers,2023,0
Q2,PCA Automobiles,4-Wheelers,2023,0
Q1,BYD India,4-Wheelers,2022,0
Q3,KIA Motors,4-Wheelers,2022,0
Q1,KIA Motors,4-Wheelers,2022,0
Q3,PCA Automobiles,4-Wheelers,2022,0
Q4,PCA Automobiles,4-Wheelers,2022,0
Q1,Volvo Auto India,4-Wheelers,2022,0
Q2,BMW India,4-Wheelers,2022,0
Q3,BMW India,4-Wheelers,2022,0
Q2,PCA Automobiles,4-Wheelers,2022,0
Q2,BYD India,4-Wheelers,2022,0
Q3,Volvo Auto India,4-Wheelers,2022,0
Q2,Volvo Auto India,4-Wheelers,2022,0
Q4,KIA Motors,4-Wheelers,2022,0
Q2,OLA ELECTRIC,2-Wheelers,2022,0
Q1,BMW India,4-Wheelers,2022,0
Q1,PCA Automobiles,4-Wheelers,2022,0
Q2,KIA Motors,4-Wheelers,2022,0
Q1,OLA ELECTRIC,2-Wheelers,2022,0
